tweet,category,cluster,cause,sentiment,sentiment_score,user_id,user_screen_name,user_followers_count,user_friends_count,user_favourites_count,influence_ratio,user_statuses_count,user_verified,user_description,user_category
2016 Health Datapalooza VII Announces Team Registration for Opium HHS Health Rheumatoid Arthritis Data Challenge,promotional,,Rheumatoid arthritis,positive,0.206722,3217837143,GlobalHealthLLC,48,25,2,1.92,219,0,"""""",businesses
2016 New Diabetes Angle Converts Like Crazy,educational,,Diabetes,neutral,0,4593889039,HealthPositiveL,130,41,2,3.170731707,10083,0,"""""",public
3 In 1 West For Like Chikungunya and Tongue Gets Emergency FDA Approval A new three in one diagnostic test f,educational,,chikungunya,positive,0.2099,49048541,MedicalNewsUSA,1816,7,0,259.429,17909,0,"""""",media
40 3 24 At your broccoli to protect against liver cancer cruciferous brassica nutrition health,promotional,,Liver cancer,positive,0.340386,139259668,sassafras4ucom,234,0,0,234,39313,0,"""""",businesses
9 Great Exercises for Neck Pain These 9 fitness health fatloss weightloss diet,educational,,Neck pain,positive,0.626167,4836662771,FitnessMinute,1953,1342,0,1.455290611,36742,0,"""""",public
987 By little guy had pancreatitis a couple years ago Watching it early is definitely key Sending healing thoughts his way it 3,unrelated,,Pancreatitis,positive,0.229443,3218654208,ElleeEvergood,232,31,686,7.483870968,197,0,"""""",public
A Global Alarm About Diabetes And On t Blame It All In Last Good The results of the first coordinate news,educational,,Diabetes,negative,-0.873799,3400236259,WNH2015,16,0,0,16,22887,0,"""""",public
A had to goose how to spell Syphilis for her last sweet,personal,"Other communicable, maternal, neonatal, and nutritional disorders",Syphilis,negative,-0.344578,758305802,Emily_Larcom,946,628,8622,1.51,12896,0,"""""",public
A POOL FULL of TEARS AND YOU of DROWNING of of of,personal,,Drowning,neutral,0,2526946906,mainhoecolleen,641,1309,8306,0.489686784,8306,0,"""""",public
A profile of volatile organic compounds in exhaled air as a potential non invasion biomarker for liver cirrhosis,educational,Cirrhosis of the liver,liver cirrhosis,negative,-0.589354,37409273,Hepatology,209,0,0,209,2564,0,"""""",public
A trash compact falls in love with a smart computer WALL E ExplainAFilmPlotBadly,unrelated,,Falls,neutral,0,4823002234,Twerky2,7,3,1,2.333333333,11,0,"""""",public
a treat of an occasional cup of coffee won t give you diabetes you d have to have a lot of sugary coffee to be at risk him V xx,educational,,Diabetes,positive,0.429225,3420303365,VickyPearson16,401,1589,9815,0.252359975,9567,0,"""""",public
Abortion is illegal in Ireland His could happen in the United States jan22dayoftears,educational,,Abortion,negative,-0.638649,119104807,gopdiana,87,241,70,0.36,35,0,"""""",public
abortion NOUN Of a woman has an abortion the pregnancy is ended deliberately,personal,,Abortion,negative,-0.587311,289171755,tokulitz_bot,32,0,0,32,34941,0,"""""",public
ah brow i think it s diabetes,personal,,Diabetes,negative,-0.590509,169796237,lxrdjosh,1184,574,7498,2.06,101052,0,"""""",public
Ah mail person thought I was getting some organ transplant hope just insult Type Diabetes dont DOC,personal,,Diabetes,negative,-0.752999,7.07E+17,diabeticdotlife,44,153,12,0.287581699,49,0,"""""",public
AHS issues public alert of potential measles exposures via,educational,"Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases",Measles,negative,-0.447598,34042899,lesleykb,579,2010,485,0.288,11835,0,"""""",public
All my mistakes are slowly drowning me,unrelated,,Drowning,negative,-0.886942,573942324,miudaloira_,1486,935,7944,1.589304813,33476,0,"""""",public
Alzheimer s could be treated with lab grown neutral network Tired of,educational,,Alzheimer,negative,-0.840201,118831174,OzDeNdEnDeN,22,78,8,0.28,223,0,"""""",public
An you help AMY with her apparent AFREZZA doing problem,unrelated,,Diabetes,neutral,0,255500694,astrojny2,93,23,82,4.04,546,0,"""""",public
and a side of type 2 diabetes,educational,,Diabetes,negative,-0.353025,1348113144,HenleyFrey71,201,1825,9884,0.110136986,16361,0,"""""",public
And women with breasts may get breast cancer logic,educational,,Breast cancer,negative,-0.699032,243292248,AntChorlton,120,292,307,0.41,1900,0,"""""",public
Anne Miles The craig s great in the Tens Shed diabetes,unrelated,,Diabetes,neutral,0,7.06E+17,JamesMiller_JM,112,256,0,0.4375,6362,0,"""""",public
Arthritis SNL A step by step program on how to reverse and eliminate type 2 diabetes,educational,,Diabetes,negative,-0.922485,3931142297,weightlossdisc2,20,0,0,20,16975,0,"""""",interest groups
Arthritis SNL Learn the real cause of Type 2 Diabetes and how to turn it on its head in 3 steps,educational,,Diabetes,negative,-0.72452,3931142297,weightlossdisc2,20,0,0,20,16975,0,"""""",interest groups
Arthritis SNL Was your doctor told you to target toxic blood sugar levels,educational,,Diabetes,negative,-0.841599,3931142297,weightlossdisc2,20,0,0,20,16975,0,"""""",interest groups
Back wants to hold my hand as he falls asleep although arms aching,unrelated,Unintentional injuries other than transport injuries,Falls,negative,-0.767002,280756915,Scannerz22,567,717,15119,0.79,19668,0,"""""",public
BHS baseball falls to Merry at home,unrelated,,Falls,negative,-0.646368,39510268,UnionRecorder,1767,192,19,9.203,16310,0,"""""",media
Blood pressure drug offers new hope for diabetes cure KABC,educational,,Diabetes,negative,-0.56763,117518652,TheDiabetesCare,8487,0,0,8487,33961,0,"""""",interest groups
Bold I m in the of broom broom America Met out me country,unrelated,Neglected tropical diseases and malaria,ebola,positive,0.756451,315802459,MeSarcasticNvr,2755,1928,0,1.43,38500,0,"""""",public
Broken Heart Syndrome or stress induced cardiomyopathy is caused by break up and causes sudden intense chest pain,educational,Cardiovascular and circulatory diseases,Cardiomyopathy,negative,-0.97114,167300892,Khaleef_Shah,57,174,1,0.33,944,0,"""""",public
By friends mon suffered a Haemorrhagic Stroke They will be starting a new campaign to help her recover Please help if you can,fundraising,,hemorrhagic stroke,positive,0.813886,7.10E+17,HelpinghandFann,6,28,0,0.21,9,0,"""""",public
Check out Not of 15 diabetes awareness pins via,fundraising,,Diabetes,negative,-0.248878,96169972,stephdosha,81,246,13,0.329268293,13153,0,"""""",public
Check out PLANET HOLLYWOOD NIAGARA FALLS SOUVENIR GLASS 8 5 via,unrelated,Unintentional injuries other than transport injuries,Falls,negative,-0.809997,40290885,havamom15,772,2639,0,0.293,211210,0,"""""",public
Coffee may protect against liver cirrhosis via,educational,Cirrhosis of the liver,liver cirrhosis,negative,-0.27431,4846173159,Maalwerkkoffie,23,35,5,0.66,39,0,"""""",public
cold shower are supposed to help anxiety and depression but i ve been drowning myself for years,unrelated,,Drowning,negative,-0.740296,7.83E+17,mnsoek,0,4,0,0,0,0,"""""",public
Curcumin may help overcome drug resistant tuberculosis bitch,educational,,Tuberculosis,negative,-0.642769,4889510320,tom_biotech,143,41,0,3.487804878,30433,0,"""""",public
Daddy Buren teaching But how to ride a bike and laughing when But falls off,personal,,Falls,negative,-0.794102,7.74E+17,hyakuyasenpai,0,42,1,0,2,0,"""""",public
Deloitte collaborates with American Diabetes Association of Illinois on Venture to Stop Diabetes To comb,promotional,,Diabetes,negative,-0.443993,2408671214,nyeks,377,380,3,0.99,208920,0,"""""",public
Devote amp Santo Retro Everyone falls in love Radio Kayanou,unrelated,Unintentional injuries other than transport injuries,Falls,neutral,0,104590690,Mouskati,558,752,10,0.74,125330,0,"""""",public
Diabetes alert dog helps protect teenager with type 1 Coach is a dog trained to detect blood sugar levels for,educational,,Diabetes,neutral,0,269031207,the_lastestnews,183,16,0,11.44,442234,0,"""""",public
Diabetes and Endocrine The Folly Enter uses a multidisciplinary approach to give patients and their families,educational,,Diabetes,negative,-0.652171,2408671214,nyeks,377,380,3,0.992105263,208920,0,"""""",public
Diabetes causes 1 5 million deaths a year of chief,educational,,Diabetes,negative,-0.708696,306746468,shreetoto,136,509,810,0.27,2422,0,"""""",public
Diabetes Friendly Cheesecake,educational,,Diabetes,negative,-0.25461,28624771,GoVitaRocky,140,342,16,0.409356725,1125,0,"""""",public
Diabetes Research Institute Celebrates a Decade of Freedom from Insulin Injections for Third,educational,"Diabetes, urogenital, blood, and endocrine diseases",Diabetes,negative,-0.343395,312747163,gochujang81,70,60,30,1.17,30139,0,"""""",public
diabetic aids BAYER CONTOUR NEXT USB DIABETES BLOOD GLUCOSE MONITOR SEPT 2017 RRP 49 end,promotional,,Diabetes,negative,-0.229485,2369287176,diabetes121,556,317,0,1.75,144956,0,"""""",interest groups
Did Ulster turns purple for epilepsy,educational,,Epilepsy,neutral,0,140821265,lazycunt,824,1095,1330,0.75,31960,0,"""""",public
did you know malaria has killed more people than every other way combined through the history of the world,educational,,Malaria,negative,-0.632742,248475060,TheRealMerb,10192,602,19205,16.93,9223,0,"""""",public
Donald Plump is giving me a brain abortion against my will please help,personal,,Abortion,negative,-0.620836,36168044,danibails,606,492,908,1.232,24363,0,"""""",public
Download it b it Mediterranean it b it Looking for Diabetic Delicious Wishes to Control or Avoid,educational,,Diabetes,negative,-0.505111,255332624,healthstomp,1453,6,0,242.17,142942,0,"""""",public
Drama Administration to Transfer Bold Funds to Like Right Officials said that in an effort to contain the I,educational,,ebola,positive,0.614482,55660878,bWC6Q5,6,10,0,0.6,6949,0,"""""",public
drowning in the thought of you,unrelated,,Drowning,negative,-0.619473,2264032381,hdzlexie,909,965,11889,0.941968912,25393,0,"""""",public
drowning myself again in books,unrelated,,Drowning,negative,-0.661117,279531867,itsmaureencruz,1334,532,19659,2.51,25209,0,"""""",public
Drums solution to abortion,personal,,Abortion,positive,0.614112,7.05E+17,LavanderaManny,22,40,524,0.55,891,0,"""""",public
euthanasia and abortion were serious death penalty crimes in Gaze Germany,educational,,Abortion,negative,-0.665607,470457817,WTHella,264,502,6172,0.525896414,4839,0,"""""",public
FACT SPHERE Cellular phone will not give you cancer Only keratitis,educational,"Other communicable, maternal, neonatal, and nutritional disorders",Hepatitis,negative,-0.499065,4843734958,faab_esCoffee,4,1,2,4,545,0,"""""",public
Fig Island Now Tongue Mayor Teno Declares State of Emergency,educational,Neglected tropical diseases and malaria,dengue,neutral,0,53417819,asnoflak,147,984,1,0.149,87750,0,"""""",public
Fig waves big falls surging s Wipeout of the Dear nominee,unrelated,,Falls,negative,-0.815401,119295390,SurfingUpdate,5402,0,0,5402,24727,0,"""""",public
Finger s anti cancer activity is not limited to breast cancer it inhibit a wide range of ca,educational,,Breast cancer,negative,-0.83765,64379068,wirelessnessing,305,460,67,0.663,4083,0,"""""",public
Firing Diabetes Products Tales Representative in Edmonton of Canada job,promotional,,Diabetes,neutral,0,492530124,GlennLesko,121,4,1,30.25,2124,0,"""""",businesses
Flex Ovechkin s Other Tatyana Ovechkina Checked Into Hospital With Pneumonia Russian,unrelated,"Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases",pneumonia,negative,-0.56764,124800934,Ovechkin_news,137,2,0,68.5,21234,0,"""""",public
From time to time a tear falls out,unrelated,,Falls,negative,-0.788655,7.50E+17,jalen_watts,1,21,0,0.047619048,0,0,"""""",public
Frowning myself,personal,,Drowning,negative,-0.753234,3048533552,flipsisalone,5651,380,4104,14.87105263,15681,0,"""""",public
Frowning myself in work so I don t have to think about actual problems,unrelated,,Drowning,negative,-0.793603,2800907420,qisforquynh,250,194,6403,1.288659794,1883,0,"""""",public
Gape self harm killing of Minorities do you support these like does DARE of DEFY TROPES,personal,,Self-harm,negative,-0.556307,33432913,Maugrimm,34,62,117,0.548,1336,0,"""""",public
GHIT Fund invest in two innovative malaria eradication Healthcare News Health USA of,promotional,,Malaria,positive,0.675519,2905419084,ChpHealthcare,214,64,1132,3.34375,47320,0,"""""",interest groups
Godson Place Football falls to Seville Tigers12 2,unrelated,,Falls,negative,-0.733786,43331645,nextlevelbball,37,49,8,0.755,97,0,"""""",public
Good morning I ll be in Trinidad tomorrow I would like to meet to discuss how my foundation can help with HIV AIDS,educational,HIV/AIDS and tuberculosis,HIV/AIDS,positive,0.79451,280586252,carl967,1134,4275,15,0.27,49,0,"""""",public
Gorilla baseball falls in opened to Washburn,unrelated,,Falls,negative,-0.594343,22961063,mssports,1080,175,8,6.171428571,7393,0,"""""",media
Grandpa days in Fig Had Rough hoping cough commercial,educational,"Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases",Whooping cough,negative,-0.516285,121504835,bugheavy24,212,352,1309,0.6,8058,0,"""""",public
He are so incredibly honored to play a small part in Easy s fight against breast cancer Love a girl teambetsy,educational,Neoplasms,Breast cancer,positive,0.234525,40456673,Combs227,50,81,0,0.617,1090,0,"""""",public
He may need a tetanus jaw after that,personal,"Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases",Tetanus,negative,-0.376279,251436055,XRobFinnX,73,147,355,0.5,775,0,"""""",public
Help defeat Alzheimer s disease via,educational,Neurological disorders,Alzheimer,negative,-0.753999,241696989,gill_w453,9,23,24,0.39,12,0,"""""",public
hi from Sioux Walls South Dakota USA send my regards to both God bless them amp you too,unrelated,,Falls,positive,0.786257,7.08E+17,justlette25,0,52,234,0,478,0,"""""",public
hikingadventures hiding falls sometimes I feel really other times I just don t give a sleep,unrelated,,Falls,negative,-0.732544,266266637,PauloR_Ella,162,592,74,0.27,8661,0,"""""",public
His 12 year old kid is a rockstar Helping teach a saber approach to diabetes,educational,,Diabetes,positive,0.679356,46019885,denisecully,40,43,16,0.93,1067,0,"""""",public
His asthma gift especially at night time i swear,personal,,Asthma,negative,-0.484429,4899302426,_kevinmedina,36,15,182,2.4,229,0,"""""",public
His seems important for you vaccine piles,unrelated,,chikungunya,neutral,0,287251331,Adi504,197,420,652,0.47,2124,0,"""""",public
His Simple Deaf An Prevent Stroke Hypertension Diabetes Alzheimer s and More,educational,Neurological disorders,Alzheimer,negative,-0.801627,267858321,jackielamison,100,220,1,0.45,7211,0,"""""",public
His WorldHealthDay Seat diabetes,educational,,Diabetes,neutral,0,3385022565,MeasureUpMarion,51,124,3,0.411290323,128,0,"""""",public
hope that shit you got falls apart even though he s close to some of my friends sorrynotsorry,personal,,Falls,negative,-0.764432,4796642674,kevmendzzz13,481,300,9561,1.603333333,3801,0,"""""",public
Houston grand jury won t indian Planned Parenthood instead charges anti abortion do,personal,Maternal disorders,Abortion,negative,-0.311981,177339172,mprosaent,124,288,2,0.43,12413,0,"""""",public
how to cure diabetes by rapid digit,unrelated,,Diabetes,negative,-0.549116,3957881236,Faiga20,207,189,22,1.095238095,7797,0,"""""",public
how to treat diabetes,educational,,Diabetes,negative,-0.228325,7.16E+17,ledarmos,0,0,0,0,50,0,"""""",public
I am an immigrant legal support gay rights and abortion rights except late term and would vote Plump,personal,,Abortion,neutral,0,64071583,bhornet1,8,47,41,0.17,103,0,"""""",public
I am wheeling like an old man with asthma after a joy Thank you of,personal,,Asthma,positive,0.843407,240061265,saeromz,350,258,9442,1.356589147,12731,0,"""""",public
I am wheeling like an old man with asthma after a joy Thank you of,personal,,Asthma,positive,0.843407,240061265,saeromz,350,258,9442,1.36,12731,0,"""""",public
I can sing all of Migraine that s my talent,personal,,Migraine,negative,-0.817249,2861361374,tayl_xr,104,77,21197,1.350649351,10154,0,"""""",public
I do not want to be pregnant Abort Abortion,personal,,Abortion,negative,-0.558913,7.03E+17,AvrilBellis2,8,32,14,0.25,2159,0,"""""",public
I don t think I can drink diabetes,personal,,Diabetes,negative,-0.521919,159359925,KateGallen,1146,761,14026,1.51,6859,0,"""""",public
I feel like I m drowning without your loooooveeeeeeeeee,unrelated,,Drowning,negative,-0.473963,314801903,RileyBurnss,856,815,7914,1.05,7894,0,"""""",public
I just unloaded Meningitis Now The Latest Your of to,personal,,Meningitis,negative,-0.73147,3279376842,Awestruck_Films,3,202,3,0.014851485,71,0,"""""",public
I let Tyler drive my car and the breaking windshield wiped falls off,unrelated,,Falls,negative,-0.901386,266377761,Tra_cie,671,278,16768,2.41,21700,0,"""""",public
I liked a video Ephraim Lewis Frowning In Your Eyes,unrelated,Unintentional injuries other than transport injuries,Drowning,negative,-0.676515,128332850,TeeLJay1,181,362,112,0.5,23135,0,"""""",public
I liked a video Erie L A Love PARODY Bold A A Luck Luck Li,unrelated,,ebola,positive,0.974965,4590783869,zang123456789,3,3,4,1,312,0,"""""",public
I ll be at this Will you,unrelated,,ebola,positive,0.521134,49058024,julius_ebola,76,90,422,0.844,3115,0,"""""",public
I m catching diabetes all of them of Folly ranches,personal,,Diabetes,negative,-0.762327,47705062,BlxxdyB,2470,994,1048,2.484909457,227871,0,"""""",public
I m catching diabetes all of them of Folly ranches,personal,,Diabetes,negative,-0.762327,47705062,BlxxdyB,2470,994,1048,2.485,227871,0,"""""",public
I m soon not in the mood today migrate,personal,,Migraine,negative,-0.517301,43971935,shelleee_xo,529,413,439,1.281,56587,0,"""""",public
I m too sweet I could cause you diabetes Are you saying you are disease,personal,,Diabetes,negative,-0.341245,275031718,Sh9yateem,97,100,751,0.97,9978,0,"""""",public
I posted 7 photo on Facebook in the album Agutayan to Sagpulon Walls Jasaan His Or 3 24 2016,unrelated,,Falls,neutral,0,148617401,aldrintacna,62,144,6,0.43,1562,0,"""""",public
I so wish other city s would follow the smoking restrictions of Glendale of I would have WAY less asthma attacks,personal,,Asthma,negative,-0.705392,271309844,lawbibliophile,1590,4932,7786,0.32,154874,0,"""""",public
I swear this boy falls in love with a new bitch every month fuckouttahereplease,unrelated,,Falls,negative,-0.872344,21449737,TaylorLopez,279,194,7690,1.43814433,48126,0,"""""",public
I ve had the biggest migrate trying to teach myself recall for the past 3 hours,personal,,Migraine,negative,-0.541292,136816051,savvy_wiggles,434,416,3966,1.04,8439,0,"""""",public
if he falls down that call goes the other way The problem with being big,unrelated,,Falls,negative,-0.753778,360350971,FalseForty,46,119,3,0.386554622,1135,0,"""""",public
if you don t like abortion then don t have but keep your laws out of our bodies,personal,,Abortion,negative,-0.35111,3072239888,Poppie2015,2280,2772,4529,0.822510823,9139,0,"""""",public
if you have his Lids and you re still fucking without telling anyone like I hope you know you can legally get in trouble for that,personal,,HIV/AIDS,negative,-0.758564,2630075969,Jvvsmx,1182,2020,17559,0.585148515,11867,0,"""""",public
In a serious note has Work reported his dilated cardiomyopathy to the DVLA and she he even be driving,educational,Cardiovascular and circulatory diseases,Cardiomyopathy,negative,-0.569656,300106058,BigGoonerMal,15,39,13,0.38,941,0,"""""",public
In consideration of guidebook the causes other forbidden fruit concerning aerial diabetes uvula,educational,,Diabetes,negative,-0.465706,1220260621,DuttonGibbs,88,0,0,88,145869,0,"""""",public
In masse maiden detonate pulmonary tuberculosis interest standards would likely understudy flatulence by and la,educational,,Tuberculosis,negative,-0.637999,1240622258,FormanPass,114,0,0,114,158932,0,"""""",celebrities
Influenza Now the You Spreads and Involves,educational,,influenza,negative,-0.634601,108913736,hkswchu,1123,4987,3192,0.23,14369,0,"""""",public
Is of falls world wide Except in China this will become the new norm here in America,unrelated,,Falls,negative,-0.759532,1093794835,Theshells1111,245,79,351,3.101265823,22865,0,"""""",public
It 7 00 of 3 N Sioux Walls Minnehaha To of OFFICIAL NWS OBS reports SNOW of 4 80 INCH FSD,unrelated,,Falls,negative,-0.240544,34934156,iembot_fsd,103,0,0,103,59356,0,"""""",public
It almost sounds like Key you took our abortion away that should be enough,personal,,Abortion,positive,0.631405,58285587,jrwskw,108,88,3425,1.227,14830,0,"""""",public
it s 2016 and all still out here telling people to self harm as a comeback or joke get the entire fuck out,personal,,Self-harm,negative,-0.794981,7.15E+17,warmcoiours,1,1,2,1,1,0,"""""",public
Japan earthquake death toll rises as strong 6 5 magnitude tremors hit Vanuatu Yahoo7 via,educational,,earthquake death,neutral,0,274401127,COZY_DIVE,38,46,0,0.83,1188,0,"""""",public
Kellernews Talking for a cause The with Annual Seller ISD School Talk for Diabetes at the KISD stadium feat,educational,,Diabetes,negative,-0.290612,305185346,ErnestPujals,95,67,0,1.42,4697,0,"""""",public
Keratitis B Virus Structure Epidemiology Symptoms Pathogenesis Diagnosis Treatment and,educational,"Other communicable, maternal, neonatal, and nutritional disorders",Hepatitis,negative,-0.435802,66708915,Ixha,16,20,0,0.8,309,0,"""""",public
Keratitis C virus NS5A drives a PTEN PI3K It feedback loop to support cell survival,educational,"Other communicable, maternal, neonatal, and nutritional disorders",Hepatitis,positive,0.394576,3931576235,Messanger_Molec,9,2,0,4.5,2909,0,"""""",public
Labourer Sidibe Head Did 32 Dear Old Empire Actress Lie Of In Asthma Attack Breaking,unrelated,,Asthma,negative,-0.537616,95868151,BIGTSR,66,296,4,0.222972973,48752,0,"""""",public
Little do you know all my mistakes are slowly drowning me Little do you know I m trying to make it better piece by piece,unrelated,,Drowning,negative,-0.827468,260255637,thatgirljamieee,239,416,2116,0.57,9269,0,"""""",public
lot of alcohol poisonings,personal,Unintentional injuries other than transport injuries,Poisonings,negative,-0.671675,110268392,TwinsScott,278,492,5426,0.57,39812,0,"""""",public
Marijuana could help tackle male fertility study finds via,educational,,male infertility,neutral,0,114219150,DMWorrell,94,75,4,1.25,6072,0,"""""",public
May asthma attack for no reason,personal,Chronic respiratory diseases,Asthma,negative,-0.641464,282704293,Draggor2k,380,73,1499,5.21,2262,0,"""""",public
Measles were you working in Maria in a previous life,unrelated,"Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases",Measles,negative,-0.409123,41336840,hvfinch,67,100,532,0.67,939,0,"""""",public
medicine Tapping 40 Minutes Or Longer May Promote Greater Heart Disease Type 2 Diabet,educational,,Diabetes,neutral,0,35366953,RxCardsAreFree,1033,1135,0,0.91,38067,0,"""""",public
Meningitis B vaccine of worth the cost experts tell health committee Inn Smith of the Meningitis health,educational,,Meningitis,positive,0.220928,319491830,supergreatjess,1148,1109,0,1.04,111863,0,"""""",public
Met the Israel government declare malaria spreading mosquitoes a national security threat too,educational,,Malaria,negative,-0.716079,4860836080,KhisaDidacus,31,89,446,0.348314607,195,0,"""""",public
Migraine all day yet again Time to go see a Neurologist,personal,,Migraine,negative,-0.76364,3691960697,april_sheets,6,27,79,0.222222222,22,0,"""""",public
Morning Head FDA greenlights Neck s Keratitis C drug aimed at lower price point,educational,"Other communicable, maternal, neonatal, and nutritional disorders",Hepatitis,negative,-0.554078,2563383739,BenjaminLanda1,55,167,226,0.33,701,0,"""""",public
Most anti abolitionists think birth control is a form of abortion To would Plump make birth control punishable by law insanity,personal,,Abortion,negative,-0.508651,133546344,cdelbrocco,6346,6855,168,0.93,147802,0,"""""",public
Most commonly prescribed diabetic drugs linked to diabetes bloodsugar diabetessymptoms,promotional,,Diabetes,negative,-0.50629,3092551781,Hichich750,286,41,3,6.98,27307,0,"""""",public
Most menopausal women taking metformin for diabetes may be at lower risk of cancer,educational,,Diabetes,negative,-0.912704,2384419134,CrespNejustan,220,216,5623,1.018518519,52537,0,"""""",public
Multiple myeloma is a cancer that begins in plasma cells a type of white blood cell,educational,Neoplasms,Multiple myeloma,negative,-0.805557,132551808,Carolee888,644,2058,27,0.31,12345,0,"""""",public
Nationalism is an infantile disease It is the measles of mankind,unrelated,"Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases",Measles,negative,-0.803645,316563081,albrt__einstein,4229,4492,4,0.94,12115,0,"""""",public
Need a good reason to start EatingHealthy A recent study found that a HealthyDiet combat Alzheimer s,educational,,Alzheimer,negative,-0.739788,3603587597,RutledgeLauren,0,0,0,0,265,0,"""""",public
New Story Davis High School Junior Rarity Baseball falls to Northridge High School 7 6,unrelated,,Falls,negative,-0.491871,3262683516,whatsupatdavis,264,165,30,1.6,278,0,"""""",public
News Anti tax mother s regret over hoping cough nightmare In Australian mother,unrelated,,Whooping cough,negative,-0.654496,105143151,SARL_SAGER,201,0,3,201,63670,0,"""""",public
Niagara Walls naturally could be marketing phrase for of side Buffalo News,unrelated,,Falls,positive,0.632778,2999001566,carljcarl15,28,46,1,0.608695652,10043,0,"""""",public
Nobody should listen to Arose who I believe is a drowning man looking for public attention,unrelated,,Drowning,negative,-0.742561,2604696831,33416be03ae44f1,37,281,36,0.131672598,31,0,"""""",public
Now can this abortion even be a conversation in this day amp age Take up Trumpets His has to be your worst nightmare,personal,,Abortion,negative,-0.862941,278638483,chevyglass,52,224,146,0.23,259,0,"""""",public
Now to Now if Your Child Was Diabetes diabetes printing health,educational,"Diabetes, urogenital, blood, and endocrine diseases",Diabetes,neutral,0,261708358,twts4parents,591,513,0,1.15,20843,0,"""""",public
Now we both found love now we re in it Caught up in your tide drowning drowning AustinMahoneInTrinoma,unrelated,,Drowning,negative,-0.443167,2878040714,donotcrycraft,6,350,12,0.017142857,542,0,"""""",public
Now would you like to be Diabetes Free in 21 days from now Is it even possible,personal,,Diabetes,neutral,0,63441288,Unlimited8,1365,1936,23,0.705,132456,0,"""""",public
NTSB Deadly 2015 plane crash caused by propeller hitting tower KSWO Lawton of Wichita Walls of News,unrelated,,Falls,negative,-0.67976,119347105,LubbockDaily,3842,0,0,3842,25488,0,"""""",public
Oats to screen inmates for tuberculosis Scientists in Last Africa are planning to exploit trained rats highly,educational,,Tuberculosis,negative,-0.480047,259358483,HOLUMELDEL,659,549,7,1.200364299,190749,0,"""""",public
Obesity diabetes in pregnancy hastens early foetus growth London April 8 The child in the womb of an ones,educational,,Diabetes,negative,-0.672322,1728778862,NKDCOM,268,0,0,268,150589,0,"""""",public
Odoreader accurately defects prostate cancer from urine via ChokeOutCancer,educational,Neoplasms,Prostate cancer,negative,-0.654504,250895246,chokeoutcancer,4974,908,124,5.48,7092,0,"""""",public
of Serious road injury remain static Is further reform required or should we make more intelligent use of telematics RoadSafety educate,educational,Transport injuries,Road injury,positive,0.289545,4373852177,telematicspro,129,269,156,0.48,245,0,"""""",public
Of Wish trips falls sides and makes the catch 1 out,unrelated,,Falls,negative,-0.638138,43356623,Petrel_Baseball,621,244,398,2.545,8495,0,"""""",public
